character_skill_key	effect_key	level	effect_scope	value
#character_skill_level_to_effects_junctions_tables;1;db/character_skill_level_to_effects_junctions_tables/elo_liche_general				
liche_immortality	wh2_main_effect_grant_immortality_lord	1	character_to_character_own	1.0000
liche_immortality	wh_main_effect_character_stat_physical_resistance	1	character_to_character_own	5.0000
mount_barded_skeletal_steed_liche_vampires	wh_main_effect_enable_mount_skeletal_steed	1	character_to_character_own	1.0000
mount_chariot_liche_vampires	wh2_dlc09_effect_enable_mount_tmb_skeleton_chariot	1	character_to_character_own	1.0000
mount_pegasus_liche_vampires	ovn_dread_king_enable_mount_skeletal_pegasus	1	character_to_character_own	1.0000
mount_warsphinx_liche_vampires	ovn_dread_king_enable_mount_skeletal_elephant	1	character_to_character_own	1.0000
mount_barded_skeletal_steed_liche_death	wh_main_effect_enable_mount_skeletal_steed	1	character_to_character_own	1.0000
mount_chariot_liche_death	wh2_dlc09_effect_enable_mount_tmb_skeleton_chariot	1	character_to_character_own	1.0000
mount_pegasus_liche_death	ovn_dread_king_enable_mount_skeletal_pegasus	1	character_to_character_own	1.0000
mount_warsphinx_liche_death	ovn_dread_king_enable_mount_skeletal_elephant	1	character_to_character_own	1.0000
elo_liche_traitor_king	wh2_dlc09_effect_ability_enable_my_will_be_done	1	character_to_character_own	1.0000
elo_liche_traitor_king	wh2_dlc09_effect_ability_enable_curse	1	character_to_character_own	1.0000
elo_liche_traitor_king	wh_main_effect_force_stat_leadership	1	general_to_force_own	8.0000
elo_liche_necromancer	wh3_main_effect_winds_of_magic_pool_cap	1	character_to_force_own_unseen	15.0000
elo_liche_necromancer	wh_main_effect_ability_cooldown_lore_of_vampires	1	character_to_character_own	-25.0000
elo_liche_general_legion	unit_cap_ovn_dk_inf_tomb_guardian	1	character_to_faction_unseen	2.0000
elo_liche_general_legion	unit_cap_ovn_dk_inf_tomb_guardian_great_weapons	1	character_to_faction_unseen	1.0000
elo_liche_general_legion	unit_cap_ovn_dk_inf_tomb_guardian_peltasts	1	character_to_faction_unseen	1.0000
elo_liche_general_legion	wh_main_effect_character_stat_melee_attack	1	character_to_character_own	5.0000
elo_liche_general_legion	wh_main_effect_character_stat_melee_defence	1	character_to_character_own	5.0000
elo_follower_nagash	elo_enable_lands_nagash	1	character_to_character_own	1.0000
elo_call_the_legions	elo_enable_call_legions	1	character_to_character_own	1.0000
