key	image_path	localised_description	localised_name	unlocked_at_rank	is_background_skill	is_female_only_background_skill	is_male_only_background_skill	background_weighting	influence_cost
#character_skills_tables;5;db/character_skills_tables/dread_tech_tree_lords									
wh2_dlc09_skill_innate_tmb_dynasty_nebwaneph	trait_tomb_kings.png	Through his necromantic powers and whisperings on the Wind of Shyish, Nagash was able to turn this proud King.	Traitor King of Mahrak	0	true	false	false	5.0000	0
wh2_dlc09_skill_innate_tmb_dynasty_omanhan_iii	trait_tomb_kings.png	Through his necromantic powers and whisperings on the Wind of Shyish, Nagash was able to turn this proud King.	Traitor King of Quatar	0	true	false	false	5.0000	0
wh2_dlc09_skill_innate_tmb_dynasty_haptmose	trait_tomb_kings.png	Liche High Priest and leader of the traitors that turned to Nagash.	The Traitor of Mahrak	0	true	false	false	5.0000	0
wh2_dlc09_skill_innate_tmb_dynasty_possessed_hero_01	trait_tomb_kings.png	A tragic hero that got killed by a wicked Medusa. Now he's possessed by a spiteful spirit.	Fallen Hero of Mycanes	0	true	false	false	5.0000	0
wh2_dlc09_skill_innate_tmb_dynasty_possessed_hero_02	trait_tomb_kings.png	An ancient hero that couldn't prevail against a mighty Minotaur. Now he's possessed by a spiteful spirit.	Fallen Hero of Athanes	0	true	false	false	5.0000	0
dread_mount_haptmose_casket_of_souls	mount_casket_of_souls.png	When the souls are released they endeavour not to return without new victims to torment for eternity.	Casket of Souls	17	false	false	false	0.0000	0
dread_mount_haptmose_skeletal_steed	mount_skeletal_steed_tmb.png	Long-dead destriers, awakened to serve their Unliving masters far beyond death.	Skeletal Steed	6	false	false	false	0.0000	0
dread_mount_haptmose_skeleton_chariot	mount_skeleton_chariot.png	The pride of Nehekharan armies, impacting enemy lines with bone-shattering force and grinding the corpses beneath their heavy wheels.	Skeleton Chariot	13	false	false	false	0.0000	0
dread_haptmose_mortuary_cult_scholar	character_diplomacy.png	Only those who display the correct degree of diligence and reverence may learn the secrets of Unlife.	Mortuary Cult Scholar	0	false	false	false	0.0000	0
dread_haptmose_soul_binding	character_ward_save.png	By which the very souls of the Undead can be harnessed, so their physical forms can be controlled.	Soul Binding	0	false	false	false	0.0000	0
dread_nagash_blessing_0	wh2_dlc11_infinite_hatred.png	Nagash is darkness and unreasoning hatred given form, the father and creator of the foul art of necromancy and lord of all Vampires.	Nagash the Great Necromancer	9	false	false	false	0.0000	0
ovn_dk_possesed_tormented_puppet	wh3_main_lord_abilities_the_dark_master.png			0	false	false	false	0.0000	0
ovn_dk_possesed_mycanes_defender	character_armour.png			0	false	false	false	0.0000	0
ovn_dk_possesed_mycanes_warband	battle_defence.png			0	false	false	false	0.0000	0
ovn_dk_possesed_athanas_minos	wh2_dlc17_bst_skill_distorted_reality.png			0	false	false	false	0.0000	0
ovn_dk_possesed_athanas_monster_hunter	character_bonus_vs_large.png			0	false	false	false	0.0000	0
ovn_dk_possesed_hatred_delfs_mycanas	character_damage.png			0	false	false	false	0.0000	0
ovn_dk_possesed_hatred_bm_athanas	character_attack.png			0	false	false	false	0.0000	0
ovn_dk_possesed_possesion	wh3_main_lord_passive_whisper_of_glory.png			0	false	false	false	0.0000	0
ovn_possesed_mycanas_shieldbearer	wh3_main_character_passive_heroic_resilience.png			0	false	false	false	0.0000	0
ovn_possesed_overdrive	character_general_ability.png			0	false	false	false	0.0000	0
ovn_dk_possessed_swordsman	wh2_dlc16_wef_skill_dance_of_loec.png			0	false	false	false	0.0000	0
ovn_dk_traitor_king_warrior_king	wh2_dlc11_nehekharas_noble_blood.png			0	false	false	false	0.0000	0
ovn_dk_traitor_king_ushabti	wh2_dlc09_statuesque_sentinels.png			0	false	false	false	0.0000	0
ovn_dk_traitor_king_nagash_boon	wh2_dlc11_bestial_monstrosity.png			0	false	false	false	0.0000	0
ovn_dk_traitor_king_willingly_damned	wh2_dlc11_grave_sentinels.png			0	false	false	false	0.0000	0
ovn_dk_traitor_king_dark_glory	wh2_dlc11_strength_of_steel.png			0	false	false	false	0.0000	0
ovn_dk_traitor_king_ushabti_artisan_king	wh2_dlc09_geheb.png			0	false	false	false	0.0000	0
ovn_dk_traitor_king_tomb_guard	battle_damage.png			0	false	false	false	0.0000	0
ovn_dk_traitor_king_tomb_guard_elite	wh2_dlc09_ptra.png			0	false	false	false	0.0000	0
ovn_dk_hierophant_silver_tongue	character_diplomacy.png			0	false	false	false	0.0000	0
ovn_dk_hierophant_mortuary	wh2_dlc09_character_passive_befalling_curse.png			0	false	false	false	0.0000	0
ovn_dk_hierophant_gifts	wh_main_lore_passive_the_curse_of_undeath.png			0	false	false	false	0.0000	0
ovn_dk_hierophant_undeath_ascendant	wh2_dlc11_lord_passive_honour_or_death.png			0	false	false	false	0.0000	0
ovn_dk_hierophant_liche	wh2_dlc09_lore_nehekhara.png			0	false	false	false	0.0000	0
