child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	visible_in_ui
#technology_node_links_tables;0;db/technology_node_links_tables/!!!ovn_dread_king							
dread_king_tech_7	dread_king_tech_1_legion	0	3	1	0.0000	0.0000	true
dread_king_tech_2_legion	dread_king_tech_7	0	3	1	0.0000	0.0000	true
dread_king_tech_14	dread_king_tech_2_legion	0	3	1	0.0000	0.0000	true
dread_king_tech_3_legion	dread_king_tech_14	0	3	1	0.0000	0.0000	true
dread_king_tech_4_legion	dread_king_tech_3_legion	0	3	1	0.0000	0.0000	true
dread_king_tech_5_legion	dread_king_tech_4_legion	0	3	1	0.0000	0.0000	true
dread_king_tech_51	dread_king_tech_5_legion	0	3	1	0.0000	0.0000	true
dread_king_tech_6_legion	dread_king_tech_51	0	3	1	0.0000	0.0000	true
dread_king_tech_8	dread_king_tech_7	0	4	2	0.0000	0.0000	true
dread_king_tech_9	dread_king_tech_7	0	2	4	0.0000	0.0000	true
dread_king_tech_10	dread_king_tech_2_legion	0	4	2	0.0000	0.0000	true
dread_king_tech_11	dread_king_tech_10	0	4	2	0.0000	0.0000	true
dread_king_tech_12	dread_king_tech_2_legion	0	2	4	0.0000	0.0000	true
dread_king_tech_13	dread_king_tech_12	0	2	4	0.0000	0.0000	true
dread_king_tech_15	dread_king_tech_14	0	4	2	0.0000	0.0000	true
dread_king_tech_16	dread_king_tech_15	0	4	2	0.0000	0.0000	true
dread_king_tech_17	dread_king_tech_16	0	4	2	0.0000	0.0000	true
dread_king_tech_18	dread_king_tech_14	0	2	4	0.0000	0.0000	true
dread_king_tech_19	dread_king_tech_18	0	2	4	0.0000	0.0000	true
dread_king_tech_20	dread_king_tech_19	0	2	4	0.0000	0.0000	true
dread_king_tech_21	dread_king_tech_3_legion	0	4	2	0.0000	0.0000	true
dread_king_tech_22	dread_king_tech_21	0	4	2	0.0000	0.0000	true
dread_king_tech_23	dread_king_tech_22	0	4	2	0.0000	0.0000	true
