key	text	tooltip
#Loc;1;text/db/ovn_dread_king_only_special_ability_phases.loc		
special_ability_phases_onscreen_name_spawn_ushabti_dread_king	Minotaur Summoner	true
special_ability_phases_onscreen_name_Dread_Aura	Dread Aura	true
special_ability_phases_onscreen_name_contact_phase_mummy_curse	[[col:red]][[img:ui/battle ui/ability_icons/wh2_main_item_passive_curse_charm_of_tepok.png]][[/img]]Curse of the Mummy![[/col]]	true
special_ability_phases_onscreen_name_elo_hand_terror_past	Ancient Horror	true
special_ability_phases_onscreen_name_elo_hand_punished_one	The Punished One	true
special_ability_phases_onscreen_name_elo_hungering_blade	The Hungering Blade	true
special_ability_phases_onscreen_name_elo_hand_judge_executioner	Jury, Judge and Executioner	true
special_ability_phases_onscreen_name_elo_necromantic_anchor	Necromantic Anchor	true
special_ability_phases_onscreen_name_dread_passive_blessing_black_grail		true
special_ability_phases_onscreen_name_dread_unit_formation_diamond		true
special_ability_phases_onscreen_name_dread_unit_formation_diamond_buffer		true
special_ability_phases_onscreen_name_dread_passive_phalanx		true
special_ability_phases_onscreen_name_dread_passive_phalanx_buffer		true
special_ability_phases_onscreen_name_dread_passive_teb_stance	PLACEHOLDER	false
special_ability_phases_onscreen_name_dread_soulreaper	PLACEHOLDER	false
special_ability_phases_onscreen_name_dread_active_grimoire_necris	PLACEHOLDER	false
special_ability_phases_onscreen_name_dread_passive_black_jewel	PLACEHOLDER	false
special_ability_phases_onscreen_name_dread_passive_catacomb_guardians	PLACEHOLDER	false
special_ability_phases_onscreen_name_dread_passive_thessos	PLACEHOLDER	false
special_ability_phases_onscreen_name_dread_passive_wights_ror	PLACEHOLDER	false
special_ability_phases_onscreen_name_dread_active_kleruchoi	PLACEHOLDER	false
special_ability_phases_onscreen_name_elo_liche_land_of_nagash	PLACEHOLDER	false
special_ability_phases_onscreen_name_ovn_unending_legions	special_ability_phases_onscreen_name_ovn_unending_legions	false
special_ability_phases_onscreen_name_ovn_unnerving_presence	special_ability_phases_onscreen_name_ovn_unnerving_presence	false
special_ability_phases_onscreen_name_dread_passive_inpenetrable_phalanx_start	[[img:stage_one]][[/img]]Stage One	false
special_ability_phases_onscreen_name_dread_passive_inpenetrable_phalanx_advance	[[img:stage_two]][[/img]]Stage Two	false
special_ability_phases_onscreen_name_dread_passive_inpenetrable_phalanx_end	[[img:stage_three]][[/img]]Stage Three	false
special_ability_phases_onscreen_name_ovn_preserved_ferocity	special_ability_phases_onscreen_name_ovn_preserved_ferocity	false
special_ability_phases_onscreen_name_ovn_undead_elite_start	[[img:stage_one]][[/img]]Stage One	false
special_ability_phases_onscreen_name_ovn_undead_elite_advance	[[img:stage_two]][[/img]]Stage Two	false
special_ability_phases_onscreen_name_ovn_undead_elite_end	[[img:stage_three]][[/img]]Stage Three	false
special_ability_phases_onscreen_name_ovn_undead_discipline	special_ability_phases_onscreen_name_ovn_undead_discipline	false
special_ability_phases_onscreen_name_ovn_chariot_charge	special_ability_phases_onscreen_name_ovn_chariot_charge	false
special_ability_phases_onscreen_name_ovn_undead_rider_elite	special_ability_phases_onscreen_name_ovn_undead_rider_elite	false
special_ability_phases_onscreen_name_ovn_ghost_barrier	special_ability_phases_onscreen_name_ovn_ghost_barrier	false
special_ability_phases_onscreen_name_ovn_necromantic_gatherers	special_ability_phases_onscreen_name_ovn_necromantic_gatherers	false
special_ability_phases_onscreen_name_ovn_bestial_rage	special_ability_phases_onscreen_name_ovn_bestial_rage	false
